[2024-07-08 20:35:46] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:49] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:57:23] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 5
[2024-07-08 20:57:26] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:57:40] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 8
[2024-07-08 20:58:36] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:58:38] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:58:40] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:58:49] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:03:03] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:03:51] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:05:02] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:05:19] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:06:05] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:06:24] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:06:54] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:07:45] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 8
[2024-07-08 21:08:31] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:08:33] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 21:08:53] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:14:10] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:14:56] IP: 127.0.0.1 | Utilisateur: admin | Action: Modification du film ID 4 : Moi, moche et méchant 4
[2024-07-08 21:15:02] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:16:11] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:19:51] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 21:19:53] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:22:54] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 11
[2024-07-08 21:22:56] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:23:20] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 21:23:59] IP: 127.0.0.1 | Utilisateur: admin | Action: Déconnexion de l'administrateur admin
[2024-07-08 21:24:03] IP: 127.0.0.1 | Utilisateur: Invité | Action: Visite de la page d'accueil
[2024-07-08 21:24:05] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 4
[2024-07-08 21:25:14] IP: 127.0.0.1 | Utilisateur: Invité | Action: Visite de la page d'accueil
[2024-07-08 21:28:00] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 5
[2024-07-08 21:28:03] IP: 127.0.0.1 | Utilisateur: Invité | Action: Visite de la page d'accueil
